Market,Counterparty,Counterparty - mapping,type,Elli score,Rating,PD,PD_Str
Eligible,Ardenne Métropole,Ardenne Métropole,Eligible,0.6,BB,0.1,0.35
Eligible,Arvert,Arvert,Eligible,0.6,BB,0.1,0.35
Eligible,CD de la Dordogne,CD de la Dordogne,Eligible,0.6,BB,0.1,0.35
Eligible,Clairegoutte,Clairegoutte,Eligible,0.6,BB,0.1,0.35
Eligible,Communauté d’Agglomération de Saint Louis ,Communauté d’Agglomération de Saint Louis ,Eligible,0.6,BB,0.1,0.35
Eligible,Communauté d'Agglomération Sarreguemines Confluences (CASC),Communauté d'Agglomération Sarreguemines Confluences (CASC),Eligible,0.6,BB,0.1,0.35
Eligible,"Communauté de communes Combrailles, Sioule & Morge","Communauté de communes Combrailles, Sioule & Morge",Eligible,0.6,BB,0.1,0.35
Eligible,Commune d'agglomération de la Rochelle,Commune d'agglomération de la Rochelle,Eligible,0.6,BB,0.1,0.35
Eligible,Commune de Bavans,Commune de Bavans,Eligible,0.6,BB,0.1,0.35
Eligible,Communes de Dunières,Communes de Dunières,Eligible,0.6,BB,0.1,0.35
Eligible,Commune de Castries,Commune de Castries,Eligible,0.6,BB,0.1,0.35
Eligible,Emmaüs Habitat,Emmaüs Habitat,Eligible,0.6,BB,0.1,0.35
Eligible,Eguzon-Argenton-Vallée de la Creuse,Eguzon-Argenton-Vallée de la Creuse,Eligible,0.6,BB,0.1,0.35
Eligible,Éligibles,Éligibles,Eligible,0.6,BB,0.1,0.35
Eligible,FREJUS,FREJUS,Eligible,0.6,BB,0.1,0.35
Eligible,Habitats de Haute-Alsace OPH,Habitats de Haute-Alsace OPH,Eligible,0.6,BB,0.1,0.35
Eligible,Mairie de la Châtre,Mairie de la Châtre,Eligible,0.6,BB,0.1,0.35
Eligible,Meurthe-et-Moselle Habitat,Meurthe-et-Moselle Habitat,Eligible,0.6,BB,0.1,0.35
Eligible,Neuillay Les bois,Neuillay Les bois,Eligible,0.6,BB,0.1,0.35
Eligible,SAIMV,SAIMV,Eligible,0.6,BB,0.1,0.35
Eligible,SIEM 51,SIEM 51,Eligible,0.6,BB,0.1,0.35
Eligible,Useda,Useda,Eligible,0.6,BB,0.1,0.35
Eligible,Val Du loing Habitat,Val Du loing Habitat,Eligible,0.6,BB,0.1,0.35
Eligible,Villedieu les Poeles Rouffigny,Villedieu les Poeles Rouffigny,Eligible,0.6,BB,0.1,0.35
Eligible,Villemomble,Villemomble,Eligible,0.6,BB,0.1,0.35
Primary,ABM RENOVATION,ABM RENOVATION,Installeur,0.4,CCC,0.45,0.7
Primary,ABD INTERIOR S PARIS,ABD INTERIOR S PARIS,Installeur,0.6,BB,0.1,0.35
Primary,Aclimate 54,Aclimate 54,Installeur,0.4,CCC,0.45,0.7
Primary,Aerispro,Aerispro,Installeur,0.2,C,0.75,1
Primary,AlphaCEE,AlphaCEE,Installeur,0.2,C,0.75,1
Primary,ANESCA,ANESCA,Installeur,0.4,CCC,0.45,0.7
Primary,Arès Energy,Arès Energy,Installeur,0.6,BB,0.1,0.35
Primary,Art Facade 51,ART FACADE 51,Installeur,0.5,B,0.25,0.5
Primary,ART FACADE 51,ART FACADE 51,Installeur,0.5,B,0.25,0.5
Primary,Artisan Photovoltaique de France,Artisan Photovoltaique de France,Installeur,0.2,C,0.75,1
Primary,Artisans de France,Artisans de France,Installeur,0.5,B,0.25,0.5
Primary,Artisans des nouvelles Energies,Artisans des nouvelles Energies,Installeur,0.5,B,0.25,0.5
Primary,ArtisanServiceSoufflageIsolation,ArtisanServiceSoufflageIsolation,Installeur,0.2,C,0.75,1
Primary,ATEX RENOV,ATEX RENOV,Installeur,0.2,C,0.75,1
Primary,Atilla,Atilla,Installeur,0.2,C,0.75,1
Primary,Axdis (production Lagelouze),Axdis,mandataire,0.6,BB,0.1,0.35
Primary,Axiclim,Axiclim,Installeur,0.6,BB,0.1,0.35
Primary,BATI ENERGIE,BATI ENERGIE,Installeur,0.5,B,0.25,0.5
Primary,Bati Renov,Bati Renov,Installeur,0.5,B,0.25,0.5
Primary,BAT FULL (Elecplugg),BAT FULL (Elecplugg),Installeur,0.2,C,0.75,1
Primary,BSD GROUP,BSD GROUP,Installeur,0.6,BB,0.1,0.35
Primary,Carbone Group,Carbone Group,Installeur,0.7,BBB,0.05,0.3
Primary,Carrier IN,Carrier IN,Installeur,0.4,CCC,0.45,0.7
Primary,CCM,CCM,Installeur,0.5,B,0.25,0.5
Primary,CDA Réseaux,CDA Réseaux,Installeur,0.2,C,0.75,1
Primary,CEE Lab (Orpéa),Orpéa,Installeur,0.1,D,0.98,1
Primary,Clean Planet,Clean Planet,Installeur,0.2,C,0.75,1
Primary,Climat de France Energie,Climat de France Energie,Installeur,0.2,C,0.75,1
Primary,CLS Habitat,CLS Habitat,Installeur,0.2,C,0.75,1
Primary,CLIM DENFERT - BOURQUIN,CLIM DENFERT - BOURQUIN,Installeur,0.2,C,0.75,1
Primary,Concept Energy,Concept Energy,Installeur,0.5,B,0.25,0.5
