O/C,Status,Trade iD,Trade_Type,Trade_Date,Expected_Delivery,Up_Exp_Date,Delivery_Date,SELLER,FINAL_BUYER,WEIGHT,QUANTITY,BUY UNIT PRICE,SELL UNIT PRICE,BUY AMOUNT,SELL AMOUNT
close,Pending Receivable,f.2020.002,Broker,2/10/2020,3/31/2022,3/31/2022,1/6/2023,AlphaCEE,Siplec,100.00%,80.87,7800,8000,630786,646960
close,Pending Receivable,f.2020.034,Broker,12/15/2020,9/30/2022,9/30/2022,4/21/2023,OAAN Consulting,Enens,50.00%,12.058541,7750,7950,93453.69275,95865.40095
open,Pending Delivery,f.2020.034,Broker,12/15/2020,9/30/2022,1/15/2025,Not Delivered,OAAN Consulting,Enens,50.00%,20.514102,7750,7950,158984.2905,163087.1109
open,Pending Delivery,f.2020.034,Broker,12/15/2020,9/30/2022,1/15/2025,Not Delivered,OAAN Consulting,Enens,50.00%,2.567357,7750,7950,19897.01675,20410.48815
close,Pending Receivable,f.2020.035,Broker,12/15/2020,9/30/2022,9/30/2022,4/21/2023,OAAN Consulting,Enens,50.00%,186.737102,7750,7950,1447212.541,1484559.961
open,Pending Delivery,f.2020.035,Broker,12/15/2020,9/30/2022,1/15/2025,Not Delivered,OAAN Consulting,Enens,50.00%,313.262898,7750,7950,2427787.46,2490440.039
close,COMPLETED,f.2021.001,Trade,1/3/2021,3/31/2023,6/30/2023,8/22/2023,UEM,Enens,100.00%,150,7250,7320,1087500,1098000
close,Pending Receivable,f.2021.003,Broker,3/9/2021,3/31/2023,4/30/2023,4/21/2023,OAAN Consulting,Enens,100.00%,136.91257,7220,7320,988508.7554,1002200.012
close,Pending Receivable,f.2021.003,Broker,3/9/2021,3/31/2023,6/30/2023,5/30/2023,OAAN Consulting,Enens,100.00%,863.08743,7220,7320,6231491.245,6317799.988
open,Pending Delivery,f.2021.004,Broker,1/3/2021,6/30/2022,1/15/2025,Not Delivered,OFEE,Enens,50.00%,255,7350,7320,1874250,1866600
close,Pending Receivable,f.2021.005,Broker,1/3/2021,3/31/2023,4/30/2023,4/26/2023,Ace Energie,Enens,100.00%,100,7310,7320,731000,732000
close,COMPLETED,f.2021.009,Trade,6/1/2021,12/31/2023,12/31/2023,11/28/2023,Enens,Armorine,100.00%,193.987807,7720,7770,1497585.87,1507285.26
close,COMPLETED,f.2021.009,Trade,6/1/2021,12/31/2023,12/31/2023,11/28/2023,Enens,Armorine,100.00%,6.012193005,7720,7770,46414.13,46714.73965
close,COMPLETED,f.2021.009,Trade,11/30/2023,12/31/2023,12/31/2023,11/28/2023,Enens,Armorine,100.00%,100,0,100,0,10000
close,COMPLETED,f.2021.045,Trade,3/6/2021,12/23/2021,12/23/2021,12/23/2021,Ville de Rezé,SCA PETROLE 1,100.00%,2.550281,7050,7900,17979.48105,20147.2199
close,COMPLETED,f.2021.052,Trade,3/23/2021,12/31/2023,12/31/2023,6/5/2023,AlphaCEE,Gazel,100.00%,85,6750,7280,573750,618800
close,COMPLETED,f.2021.053,Trade,3/23/2021,7/1/2024,8/30/2024,6/24/2024,AlphaCEE,Gazel,100.00%,150,6750,7280,1012500,1092000
close,COMPLETED,f.2021.054,Trade,3/23/2021,12/31/2023,12/31/2023,10/9/2023,Ace Energie,Gazel,100.00%,50,7500,7280,375000,364000
close,COMPLETED,f.2021.055,Trade,3/23/2021,7/1/2024,8/30/2024,7/16/2024,Ace Energie,Gazel,100.00%,50,7500,7280,375000,364000
close,Pending Receivable,f.2021.057,Broker,3/25/2021,9/30/2023,7/30/2023,10/20/2023,OAAN Consulting,Selia,100.00%,82.584482,6750,6950,557445.2535,573962.1499
close,Pending Receivable,f.2021.057,Broker,3/25/2021,9/30/2023,12/31/2023,12/21/2023,OAAN Consulting,Selia,100.00%,17.415518,6750,6950,117554.7465,121037.8501
close,Pending Receivable,f.2021.057,Broker,3/25/2021,9/30/2023,12/31/2023,12/21/2023,OAAN Consulting,Selia,100.00%,100,6750,6950,675000,695000
open,Pending Delivery,f.2021.058,Broker,3/31/2021,6/30/2024,1/15/2025,Not Delivered,OAAN Consulting,Selia,100.00%,200,6700,6890,1340000,1378000
open,Pending Delivery,f.2021.059,Broker,3/31/2021,12/31/2024,1/15/2025,Not Delivered,OAAN Consulting,Total Energies,100.00%,500,6580,6665,3290000,3332500
close,COMPLETED,f.2021.071,Trade,4/10/2021,12/31/2023,12/31/2023,4/24/2023,Loris ENR,Selia,50.00%,100,7200,7375,720000,737500
close,Pending Receivable,f.2021.073,Broker,4/16/2021,1/30/2023,6/30/2023,4/5/2023,OAAN Consulting,Ginouves K9 Energy,50.00%,62.178339,6875,7080,427476.0806,440222.6401
close,Pending Receivable,f.2021.073,Broker,4/16/2021,1/30/2023,6/30/2023,5/31/2023,OAAN Consulting,Ginouves K9 Energy,50.00%,54.025012,6875,7080,371421.9575,382497.085
close,Pending Receivable,f.2021.073,Broker,4/16/2021,1/30/2023,6/30/2023,5/31/2023,OAAN Consulting,Ginouves K9 Energy,50.00%,214.120206,6875,7080,1472076.416,1515971.058
close,Pending Receivable,f.2021.073,Broker,4/16/2021,1/30/2023,6/30/2023,9/8/2023,OAAN Consulting,Ginouves K9 Energy,50.00%,40.636443,6875,7080,279375.5456,287706.0164
close,Pending Receivable,f.2021.074,Broker,4/16/2021,6/30/2023,6/30/2023,9/8/2023,OAAN Consulting,Ginouves K9 Energy,50.00%,214.716,6875,7080,1476172.5,1520189.28
close,Pending Receivable,f.2021.074,Broker,4/16/2021,6/30/2023,6/30/2023,6/7/2023,OAAN Consulting,Ginouves K9 Energy,50.00%,160.284,6875,7080,1101952.5,1134810.72
open,Pending Delivery,f.2021.084,Broker,5/26/2021,6/30/2024,1/15/2025,Not Delivered,EQUINOV,Armorine,100.00%,200,7350,7450,1470000,1490000
close,COMPLETED,f.2021.085,Trade,5/27/2021,12/31/2024,12/31/2024,8/31/2024,Idex Energies,Gazel,100.00%,60,7350,7480,441000,448800
close,COMPLETED,f.2021.090,Trade,6/5/2021,12/31/2022,12/31/2022,3/28/2022,DALKIA,Selia,100.00%,150,7198.5,7270,1079775,1090500
close,COMPLETED,f.2021.096,Trade,6/15/2021,9/30/2023,9/30/2023,10/12/2023,UEM,Ilek,100.00%,100,7600,7760,760000,776000
close,COMPLETED,f.2021.103,Trade,6/24/2021,9/30/2023,9/30/2023,8/22/2023,Enens,Ilek,50.00%,200,7650,7760,1530000,1552000
close,COMPLETED,f.2021.109,Trade,7/4/2021,12/31/2024,12/31/2024,6/5/2023,AlphaCEE,Gazel,100.00%,15,6750,7480,101250,112200
open,Pending Contract,f.2021.121,Trade,8/24/2021,12/31/2024,1/15/2025,Not Delivered,SAVE Energies,Armorine,100.00%,200,7350,7450,1470000,1490000
close,COMPLETED,f.2021.124,Trade,8/25/2021,9/30/2024,9/30/2024,4/5/2024,Enens,Armorine,50.00%,100,7550,7800,755000,780000
