O/C,Status,Trade iD,Trade_Type,Trade_Date,Exp_Date,Up_Exp_Date,Delivery_Date,SELLER,BUYER,WEIGHT,QUANTITY,B Price,S Price,BUY AMOUNT,SELL AMOUNT,Maturity,PD_S,PD_B,VAR,VAR_Buyer,VAR_Seller,CVAR,CVAR_Buyer,CVAR_Seller,XVAR,XVAR_Buyer,XVAR_Seller
open,Pending Contract,f.2021.121,Trade,8/24/2021,12/31/2024,2025-01-15,Not Delivered,SAVE Energies,Armorine,100.00%,200.0,7350.0,7450.0,1470000.0,1490000.0,0.024640657084188913,0.5,0.5,-242798.64152857725,195905.31347805206,-256934.05183218187,-260882.98184541907,181426.4922463776,-272453.0447488345,-130441.49092270953,90713.2461231888,-136226.52237441725
open,Pending Contract,f.2022.336,Trade,8/25/2022,3/31/2023,2025-01-15,Not Delivered,OTC Flow (fee),Enens,50.00%,150.0,6193.96,5400.0,929094.0,810000.0,0.024640657084188913,0.5,0.85,-489622.7602659434,320382.2890879057,-500217.882840425,-503163.58528274583,309427.7873280206,-511836.9783180879,-251581.79264137291,263013.6192288176,-255918.48915904394
open,Pending Contract,f.2022.413,Trade,12/20/2023,6/30/2024,2025-01-15,Not Delivered,Installors,Gazel (Lagelouze),100.00%,50.0,6193.96,6730.0,309698.0,336500.0,0.024640657084188913,0.85,0.3,-96702.06637553546,106766.49500456151,-100274.98077377856,-101235.4149270143,103136.44530633789,-104123.26215389362,-86050.10268796213,30940.93359190136,-88504.77283080957
open,Pending Contract,f.2022.512,Trade,9/12/2023,12/30/2023,2025-01-15,Not Delivered,Installors,Gazel (Lagelouze),50.00%,50.0,6193.96,8300.0,309698.0,415000.0,0.024640657084188913,0.85,0.3,-18213.200916262467,106784.181601029,-21764.959013942414,-22734.1529871847,103136.31237053509,-25615.90004721258,-19324.030039106998,30940.893711160516,-21773.515040130686
open,Pending Delivery,f.2023.018,Trade,10/20/2023,10/19/2024,2025-01-15,Not Delivered,Greenta,Lagelouze,100.00%,240.0,7200.0,7500.0,1728000.0,1800000.0,0.024640657084188913,0.7,0.29,-279279.31175766664,271094.77924012666,-296291.00508417434,-301023.41083570296,253647.85050904515,-314899.6265210566,-210716.387584992,73557.87664762307,-220429.73856473961
open,Pending Delivery,f.2023.019,Trade,2/6/2023,12/20/2024,2025-01-15,Not Delivered,Enneo,Ekwateur,50.00%,100.0,9050.0,9200.0,905000.0,920000.0,0.024640657084188913,0.85,0.5,-65230.19897618513,-72062.55896199508,46532.5509154114,-73858.87290517971,-79327.17672481982,38795.836481130296,-36929.436452589856,-39663.58836240991,32976.461008960745
open,Pending Delivery,f.2023.030,Trade,2/2/2023,12/31/2025,2025-12-31,Not Delivered,Demathieu Bard (vente secondaire),Lagelouze,100.00%,59.099209,6000.0,6990.0,354595.254,413103.4709,0.9828884325804244,1.0,0.29,-155627.30225548928,88873.7137857867,-185622.44065079547,-195001.7055872924,65590.21439377849,-220643.7513514254,-195001.7055872924,19021.16217419576,-220643.7513514254
open,Pending Contract,f.2023.050,Trade,3/10/2023,12/10/2025,2025-12-10,Not Delivered,UEM,Ekwateur,33.33%,200.0,8100.0,8100.0,1620000.0,1620000.0,0.9253935660506503,0.29,0.5,-302094.8610167466,-114462.26953908081,-394519.6866379461,-426793.4925125315,-191903.9030889554,-508684.9319303898,-130689.58014802054,-95951.9515444777,-147518.630259813
open,Pending Delivery,f.2023.058,Trade,3/15/2023,12/31/2024,2025-01-15,Not Delivered,Idex Energies,OFEE-LEYTON,50.00%,300.0,7525.0,7630.0,2257500.0,2289000.0,0.024640657084188913,0.85,0.35,-310212.286010742,241301.31500114582,-331481.4176717926,-337311.32661097625,219511.28923770436,-354628.3534878518,-286714.6276193298,76828.95123319652,-301434.10046467395
open,Pending Contract,f.2023.066,Trade,3/30/2023,12/20/2025,2025-12-20,Not Delivered,UEM,Ekwateur,50.00%,70.0,8270.0,8270.0,578900.0,578900.0,0.9527720739219713,0.29,0.5,-98631.72031617949,-52578.941735745306,-127922.15014554617,-140930.25037966564,-80089.39306849151,-168535.40032085788,-45391.10653159586,-40044.696534245755,-48875.266093048784
